Hour,Temp,Hum,Moist,CO2,Biomass
0,20,60,0.6,600,1
1,23.2,63.43,0.588,733.5,26.84
2,23.93,65.3729,0.57624,799.0725,57.9262
3,24.1295,66.509417,0.5647152,831.7590375,91.385196
4,24.212925,67.20535741,0.553420896,848.5008688125,125.84577888
5,24.26896375,67.6575891993,0.54235247808,857.489589495937,160.6478507419
6,24.3167233125,67.972325787189,0.5315054285184,862.68716127292,195.472176510805
7,24.360439059375,68.207111331289,0.520875319948032,866.010865258509,230.163889411732
8,24.4011602557812,68.3933402892179,0.510457813549071,868.389497460418,264.647640526362
9,24.4392464822734,68.5483379917144,0.50024865727809,870.273930836785,298.886645632973
10,24.4749014034582,68.6818428884555,0.490243684132528,871.883921918994,332.862880564417
11,24.5082873175222,68.7994863236632,0.480438810449878,873.327419768836,366.567492535406
12,24.5395501344589,68.9046619102843,0.47083003424088,874.658243285542,399.996152746804
13,24.5688251911233,68.9995310325068,0.461413433556063,875.903966021088,433.146800692997
14,24.5962389429,69.0855648310613,0.452185164884941,877.079399328912,466.018546703294
15,24.6219097461104,69.1638373856771,0.443141461587242,878.193113667289,498.611135674326
16,24.6459484194469,69.2351852568468,0.434278632355498,879.25059442126,530.924682904371
17,24.6684587331419,69.3002951619845,0.425593059708388,880.255770707555,562.959542009898
18,24.6895378592238,69.3597529303902,0.41708119851422,881.211757531561,594.716237083335
19,24.709276791479,69.4140715266337,0.408739574543936,882.121217532316,626.195426208149
20,24.7277607383561,69.4637076965292,0.400564783053057,882.986538694355,657.397880381637
21,24.7450694908137,69.5090723723422,0.392553487391996,883.809922961534,688.324470101676
22,24.7612777667645,69.5505376038139,0.984702417644156,884.593431650398,718.976155851292
23,24.7764555336165,69.6184415095951,0.965008369291273,885.339009856015,749.353980643874
24,24.790668310306,69.6659920606264,0.945708201905447,886.048500584199,779.459663727877
25,24.8039774501286,69.7016871398374,0.926794037867338,886.723653804558,809.294047004488
26,24.8164404055867,69.7301645348554,0.908258157109991,887.36613294081,838.858205752926
27,24.828110976399,69.7539850829821,0.890092993967792,887.977520019965,868.153365515893
28,24.8390395417415,69.7745894900878,0.872291134088436,888.559320075878,897.180855692485
